epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.329,1.06857,2.45062,1.28127,0.29546,0.26707,0.17084,0.09076,1.53153,2.60823,1.55351,0.000332584,0.000332584,0.000332584
2,212.759,1.02854,1.84581,1.24957,0.35857,0.34838,0.2441,0.1363,1.49312,2.31935,1.57622,0.000632955,0.000632955,0.000632955
3,317.479,1.02038,1.70106,1.25452,0.35104,0.28067,0.22697,0.12157,1.56452,2.44141,1.72076,0.000900325,0.000900325,0.000900325
4,422.231,0.97827,1.58773,1.22939,0.28963,0.25609,0.17731,0.09093,1.59255,2.73766,1.77854,0.0008515,0.0008515,0.0008515
5,526.901,0.94634,1.45072,1.20759,0.42332,0.35234,0.30221,0.17775,1.46144,2.11796,1.57833,0.000802,0.000802,0.000802
6,631.793,0.93602,1.37532,1.19792,0.50284,0.35254,0.36121,0.22369,1.40035,1.96542,1.51041,0.0007525,0.0007525,0.0007525
7,736.742,0.89816,1.30445,1.17817,0.43165,0.32383,0.30796,0.18041,1.44943,2.23839,1.57274,0.000703,0.000703,0.000703
8,841.695,0.87031,1.25044,1.16911,0.44504,0.34705,0.34202,0.20752,1.40636,2.11774,1.5578,0.0006535,0.0006535,0.0006535
9,945.996,0.86255,1.18741,1.15294,0.48724,0.36452,0.35677,0.2087,1.418,2.07584,1.56762,0.000604,0.000604,0.000604
10,1050.35,0.85327,1.16827,1.15172,0.51966,0.36342,0.3777,0.22818,1.40137,1.98792,1.54503,0.0005545,0.0005545,0.0005545
11,1149.05,0.85322,1.08332,1.15152,0.52599,0.39818,0.3971,0.24623,1.35765,1.87813,1.49676,0.000505,0.000505,0.000505
12,1247.47,0.83908,1.02649,1.13598,0.60121,0.40084,0.4335,0.27197,1.32184,1.81061,1.47169,0.0004555,0.0004555,0.0004555
13,1345.58,0.81927,0.98112,1.12533,0.55761,0.40048,0.41873,0.26611,1.32953,1.83194,1.4705,0.000406,0.000406,0.000406
14,1443.54,0.80671,0.9367,1.11596,0.60264,0.39051,0.43195,0.27802,1.30463,1.88102,1.45551,0.0003565,0.0003565,0.0003565
15,1541.9,0.78751,0.89014,1.10461,0.57068,0.39287,0.42119,0.27051,1.32002,1.93313,1.46578,0.000307,0.000307,0.000307
16,1639.98,0.77297,0.8523,1.09444,0.56365,0.42888,0.45434,0.29688,1.26745,1.82663,1.41617,0.0002575,0.0002575,0.0002575
17,1738.32,0.75897,0.81761,1.08494,0.62668,0.41481,0.45855,0.30211,1.27677,1.73389,1.41215,0.000208,0.000208,0.000208
18,1836.53,0.74539,0.77991,1.07512,0.61911,0.42774,0.46748,0.30722,1.268,1.80254,1.41667,0.0001585,0.0001585,0.0001585
19,1935,0.74231,0.75801,1.07165,0.62733,0.42631,0.47088,0.31245,1.25539,1.73855,1.40099,0.000109,0.000109,0.000109
20,2033.29,0.72353,0.72845,1.0638,0.60536,0.43938,0.47249,0.31448,1.2468,1.75083,1.40068,5.95e-05,5.95e-05,5.95e-05
