epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.598,0.99571,1.93904,1.23514,0.36491,0.27968,0.22224,0.11668,1.51144,2.51939,1.66081,0.000332584,0.000332584,0.000332584
2,219.84,0.98854,1.5713,1.23721,0.38912,0.32157,0.26925,0.15101,1.54143,2.29053,1.63447,0.000632955,0.000632955,0.000632955
3,327.939,0.9755,1.50932,1.23509,0.40319,0.33535,0.29651,0.16441,1.54367,2.18974,1.64478,0.000900325,0.000900325,0.000900325
4,436.19,0.93254,1.42546,1.2129,0.34404,0.32136,0.25701,0.14444,1.51495,2.38062,1.66235,0.0008515,0.0008515,0.0008515
5,544.618,0.89711,1.30863,1.18716,0.46825,0.34331,0.33237,0.19838,1.43405,2.02687,1.55983,0.000802,0.000802,0.000802
6,652.921,0.88037,1.22789,1.17486,0.51073,0.40009,0.39771,0.23895,1.40741,1.81935,1.53282,0.0007525,0.0007525,0.0007525
7,761.041,0.83739,1.15643,1.15294,0.50157,0.38692,0.39269,0.24487,1.40043,1.88938,1.56283,0.000703,0.000703,0.000703
8,869.121,0.8165,1.11477,1.14781,0.52452,0.41802,0.42809,0.26714,1.3397,1.7812,1.47192,0.0006535,0.0006535,0.0006535
9,977.582,0.80299,1.03783,1.1262,0.5443,0.4161,0.42958,0.26971,1.34056,1.84474,1.48646,0.000604,0.000604,0.000604
10,1085.8,0.79113,1.01515,1.12475,0.5464,0.43231,0.44872,0.28866,1.30531,1.70303,1.44442,0.0005545,0.0005545,0.0005545
11,1187.93,0.78787,0.92209,1.1198,0.5344,0.39579,0.41281,0.25305,1.34007,1.86718,1.51969,0.000505,0.000505,0.000505
12,1290.17,0.77554,0.87868,1.10699,0.60705,0.449,0.48079,0.31449,1.27526,1.63344,1.43048,0.0004555,0.0004555,0.0004555
13,1392.66,0.75234,0.84086,1.09387,0.56728,0.4261,0.45346,0.29256,1.28565,1.69303,1.43942,0.000406,0.000406,0.000406
14,1494.99,0.73875,0.77981,1.08012,0.56661,0.45869,0.47799,0.30723,1.27979,1.68825,1.42957,0.0003565,0.0003565,0.0003565
15,1597.38,0.72284,0.75008,1.07422,0.5851,0.43684,0.47623,0.3134,1.26104,1.74501,1.41873,0.000307,0.000307,0.000307
16,1699.91,0.70386,0.702,1.06142,0.64927,0.42623,0.49152,0.3296,1.23835,1.67032,1.40271,0.0002575,0.0002575,0.0002575
17,1802.64,0.68464,0.65502,1.04575,0.60825,0.45112,0.48228,0.31447,1.24918,1.70887,1.41779,0.000208,0.000208,0.000208
18,1905.46,0.6711,0.62481,1.03722,0.6222,0.45082,0.49707,0.33674,1.223,1.59023,1.38212,0.0001585,0.0001585,0.0001585
19,2007.64,0.66484,0.59921,1.03074,0.61894,0.46147,0.49734,0.33483,1.22236,1.63308,1.38799,0.000109,0.000109,0.000109
20,2109.46,0.64297,0.56717,1.0222,0.63856,0.45803,0.49654,0.33581,1.22045,1.68419,1.38546,5.95e-05,5.95e-05,5.95e-05
